ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
600887.SH,伊利股份,2025/2/13,2329.3218,2384.2506,2324.1723,2360.2192,64481638,1770183935,1.3265,1.0179,14.6902,0.33402,-0.28436
600887.SH,伊利股份,2025/2/14,2355.9279,2385.9671,2351.6366,2370.5184,35488428,977550800,0.4364,0.5602,14.7543,0.22906,-0.22995
600887.SH,伊利股份,2025/2/17,2370.5184,2373.0932,2337.0462,2354.2114,47193549,1292072249,-0.6879,0.745,14.6528,0.2233,-0.190105
600887.SH,伊利股份,2025/2/18,2350.7784,2375.6679,2335.3297,2339.621,46017795,1263058978,-0.6198,0.7265,14.562,0.23204,-0.207075
600887.SH,伊利股份,2025/2/19,2343.054,2418.581,2340.4792,2411.7149,69761041,1946975961,3.0814,1.1013,15.0107,0.70732,-0.088155
600887.SH,伊利股份,2025/2/20,2403.1323,2418.581,2377.3845,2388.5419,36377883,1014461600,-0.9609,0.5743,14.8665,0.24984,-0.10304
600887.SH,伊利股份,2025/2/21,2392.8332,2409.1401,2365.3688,2376.5262,42832293,1185932735,-0.5031,0.6762,14.7917,0.06194,-0.105355
600887.SH,伊利股份,2025/2/24,2376.5262,2385.9671,2355.0697,2361.9358,52110106,1436331869,-0.6139,0.8226,14.7009,0.07674,-0.148405
600887.SH,伊利股份,2025/2/25,2353.3531,2358.5027,2334.4714,2348.2036,40274076,1100894641,-0.5814,0.6358,14.6154,0.08442,-0.07184
600887.SH,伊利股份,2025/2/26,2343.9123,2361.9358,2336.1879,2354.2114,35594530,973228614,0.2558,0.5619,14.6528,-0.4807,-0.017685
600887.SH,伊利股份,2025/2/27,2359.361,2428.0219,2352.4949,2420.2975,78444185,2195583799,2.8071,1.2384,15.0642,0.2729,0.1535
600887.SH,伊利股份,2025/2/28,2416.8645,2476.0845,2412.5732,2427.1636,72575819,2065747063,0.2837,1.1457,15.1069,0.43026,0.13849
600887.SH,伊利股份,2025/3/3,2428.8802,2444.3289,2385.9671,2394.5497,51323384,1440304081,-1.3437,0.8102,14.9039,0.2843,0.06586
600887.SH,伊利股份,2025/3/4,2385.9671,2393.6914,2365.3688,2383.3923,31694873,878026480,-0.4659,0.5004,14.8345,0.3074,-0.00093
600887.SH,伊利股份,2025/3/5,2382.534,2397.1245,2361.9358,2385.1088,36617216,1014961789,0.072,0.5781,14.8451,0.27064,0.17874
600887.SH,伊利股份,2025/3/6,2387.6836,2409.9984,2369.6601,2402.2741,43977637,1224383021,0.7197,0.6943,14.952,-0.14684,0.17748
600887.SH,伊利股份,2025/3/7,2392.8332,2401.4158,2346.4871,2381.6758,68093556,1882186490,-0.8574,1.075,14.8238,-0.37506,0.08655
600887.SH,伊利股份,2025/3/10,2373.0932,2385.9671,2342.1957,2349.0618,49588074,1359053615,-1.3694,0.7828,14.6208,-0.3802,0.051035
600887.SH,伊利股份,2025/3/11,2334.4714,2372.2349,2330.1801,2372.2349,42861912,1175164527,0.9865,0.6766,14.765,-0.08972,0.133535
600887.SH,伊利股份,2025/3/12,2372.2349,2385.9671,2351.6366,2351.6366,32964670,907079707,-0.8683,0.5204,14.6368,-0.27778,0.05487
600887.SH,伊利股份,2025/3/13,2360.2192,2385.9671,2348.2036,2350.7784,38642151,1063456595,-0.0365,0.61,14.6315,-0.42902,-0.01328
600887.SH,伊利股份,2025/3/14,2394.5497,2573.9264,2394.5497,2553.3281,192089353,5578815616,8.6163,3.0324,15.8921,1.46572,0.395715
600887.SH,伊利股份,2025/3/17,2574.7846,2582.509,2482.0924,2498.3993,115261491,3376136844,-2.1513,1.8196,15.5503,1.30934,0.322545
600887.SH,伊利股份,2025/3/18,2501.8324,2512.1315,2464.9271,2472.6515,53793445,1553625184,-1.0306,0.8492,15.39,0.90592,0.302005
600887.SH,伊利股份,2025/3/19,2472.6515,2484.6672,2454.628,2458.0611,40370440,1158983905,-0.5901,0.6373,15.2992,0.96156,0.11843
600887.SH,伊利股份,2025/3/20,2464.0689,2476.0845,2430.5967,2431.4549,46345905,1317971944,-1.0824,0.7316,15.1336,0.75238,0.112355
600887.SH,伊利股份,2025/3/21,2433.1715,2448.6202,2374.8097,2374.8097,69440200,1948893590,-2.3297,1.0962,14.781,-1.43682,0.021025
600887.SH,伊利股份,2025/3/24,2394.5497,2437.4628,2384.2506,2403.9906,49992769,1398365164,1.2288,0.7892,14.9627,-0.7608,0.11316
600887.SH,伊利股份,2025/3/25,2404.8488,2436.6045,2386.8253,2435.7463,34180833,962308584,1.321,0.5396,15.1603,-0.29048,0.20828
600887.SH,伊利股份,2025/3/26,2422.8723,2435.7463,2417.7228,2427.1636,24532391,693784305,-0.3524,0.3873,15.1069,-0.24294,0.17787
600887.SH,伊利股份,2025/3/27,2426.3054,2451.195,2421.1558,2438.321,30412226,863216602,0.4597,0.4801,15.1763,0.06548,0.0605
600887.SH,伊利股份,2025/3/28,2437.4628,2448.6202,2419.4393,2422.0141,22355741,633100314,-0.6688,0.3529,15.0748,0.39766,0.012875
600887.SH,伊利股份,2025/3/31,2412.5732,2450.3367,2400.5575,2409.9984,36456217,1029151997,-0.4961,0.5755,15.0001,0.05268,0.055255
600887.SH,伊利股份,2025/4/1,2410.8567,2423.7306,2397.1245,2409.1401,28507054,799680206,-0.0356,0.45,14.9947,-0.21864,0.07677
600887.SH,伊利股份,2025/4/2,2411.7149,2428.0219,2385.9671,2389.4001,26593399,743679759,-0.8194,0.4198,14.8718,-0.31204,0.0322
