ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
300059.SZ,东方财富,2025/7/7,1846.0337,1867.215,1845.2191,1853.3657,249661731,5692621878,-0.2193,1.8664,34.6668,-0.32884,0.330845
300059.SZ,东方财富,2025/7/8,1851.7364,1895.7284,1850.1071,1885.9524,417884881,9633695616,1.7582,3.124,35.2763,0.23896,0.53292
300059.SZ,东方财富,2025/7/9,1886.767,1902.2457,1862.327,1868.0297,339484921,7835324046,-0.9503,2.5379,34.9411,0.1975,0.36142
300059.SZ,东方财富,2025/7/10,1861.5124,1901.431,1857.439,1885.9524,390710344,9037908535,0.9594,2.9209,35.2763,0.23966,0.372165
300059.SZ,东方财富,2025/7/11,1897.3577,2003.2643,1878.6204,1943.7937,1098863085,26314406885,3.067,8.2149,36.3582,0.923,0.59942
300059.SZ,东方财富,2025/7/14,1952.755,1952.755,1916.9097,1924.2417,419157084,9936660423,-1.0059,3.1336,35.9925,0.76568,0.45536
300059.SZ,东方财富,2025/7/15,1924.2417,1950.311,1904.6897,1916.9097,365249651,8621353178,-0.381,2.7306,35.8554,0.33784,0.44091
300059.SZ,东方财富,2025/7/16,1922.6123,1931.5737,1894.9137,1907.9484,261453222,6133735002,-0.4675,1.9546,35.6877,0.4344,0.4659
300059.SZ,东方财富,2025/7/17,1906.319,1926.6857,1903.0604,1922.6123,281614983,6616962241,0.7686,2.1053,35.962,0.39624,0.63689
300059.SZ,东方财富,2025/7/18,1922.6123,1930.759,1905.5044,1916.095,263052035,6194386610,-0.339,1.9665,35.8401,-0.28496,0.672495
300059.SZ,东方财富,2025/7/21,1888.3964,1914.4657,1861.5124,1902.2457,479639123,11143195007,-0.7228,3.5857,35.5811,-0.22834,0.58324
300059.SZ,东方财富,2025/7/22,1910.3924,1936.4617,1894.9137,1917.7244,457095424,10742489970,0.8137,3.4172,35.8706,0.0106,0.4137
300059.SZ,东方财富,2025/7/23,1934.8323,1981.2683,1925.871,1931.5737,803889338,19249274782,0.7222,6.0098,36.1296,0.24854,-0.052255
300059.SZ,东方财富,2025/7/24,1922.6123,1991.859,1917.7244,1981.2683,712859889,17192057722,2.5728,5.3292,37.0592,0.60938,0.257635
300059.SZ,东方财富,2025/7/25,2000.0056,2010.5963,1948.6817,1954.3843,471001961,11390699109,-1.3569,3.5211,36.5563,0.4058,0.209245
300059.SZ,东方财富,2025/7/28,1956.8283,1991.859,1948.6817,1964.975,394633190,9541819256,0.5419,2.9502,36.7544,0.65874,0.21681
300059.SZ,东方财富,2025/7/29,1951.1257,1969.863,1920.983,1969.863,411059624,9818209853,0.2488,3.073,36.8458,0.54576,0.28329
300059.SZ,东方财富,2025/7/30,1964.1603,1975.5657,1922.6123,1939.7203,398559938,9548770525,-1.5302,2.9796,36.282,0.09528,0.24393
300059.SZ,东方财富,2025/7/31,1928.315,1958.4577,1881.879,1892.4697,443464864,10437835809,-2.436,3.3153,35.3982,-0.90648,0.0847
300059.SZ,东方财富,2025/8/1,1890.0257,1912.0217,1878.6204,1887.5817,266616387,6196831584,-0.2583,1.9932,35.3068,-0.68676,0.08927
300059.SZ,东方财富,2025/8/4,1874.547,1903.0604,1873.7324,1902.2457,206018455,4789741479,0.7769,1.5402,35.5811,-0.63976,0.13908
300059.SZ,东方财富,2025/8/5,1911.207,1925.871,1898.987,1925.0563,278641186,6548166293,1.1991,2.0831,36.0077,-0.4497,0.111125
300059.SZ,东方财富,2025/8/6,1920.983,1929.9443,1910.3924,1925.0563,209950920,4948975909,0,1.5696,36.0077,-0.14366,0.15864
300059.SZ,东方财富,2025/8/7,1929.9443,1942.979,1908.763,1917.7244,277197497,6547246737,-0.3809,2.0723,35.8706,0.26736,0.091625
300059.SZ,东方财富,2025/8/8,1911.207,1912.0217,1890.0257,1890.0257,235608668,5490472674,-1.4444,1.7614,35.3525,0.03014,-0.133945
300059.SZ,东方财富,2025/8/11,1887.5817,1952.755,1887.5817,1938.9057,464960776,11043760974,2.5862,3.476,36.2668,0.392,0.04566
300059.SZ,东方财富,2025/8/12,1937.2763,1961.7163,1927.5003,1954.3843,365765430,8732463292,0.7983,2.7344,36.5563,0.31184,0.104625
300059.SZ,东方财富,2025/8/13,1967.419,2020.3723,1943.7937,2002.4496,835773375,20381611688,2.4594,6.2481,37.4554,0.80372,0.25097
300059.SZ,东方财富,2025/8/14,2002.4496,2043.9976,1983.7123,1984.527,756790060,18672264923,-0.895,5.6577,37.1201,0.7009,0.16779
300059.SZ,东方财富,2025/8/15,1980.4537,2215.8922,1978.8243,2180.0469,1697079842,44212171538,9.8522,12.6871,40.7773,2.96022,0.67735
300059.SZ,东方财富,2025/8/18,2197.9695,2360.0881,2138.4989,2268.8455,1638248391,45044000478,4.0732,12.2473,39.5751,3.25762,0.91715
300059.SZ,东方财富,2025/8/19,2231.3709,2269.6602,2185.7495,2191.4522,902257820,24656743772,-3.4111,6.7452,38.2251,2.41574,0.70591
300059.SZ,东方财富,2025/8/20,2170.2709,2206.1162,2144.2016,2206.1162,665432246,17817596321,0.6691,4.9747,38.4809,2.05768,0.703255
300059.SZ,东方财富,2025/8/21,2228.9269,2236.2589,2168.6416,2183.3056,507135070,13688259572,-1.034,3.7913,38.083,2.02988,0.522915
300059.SZ,东方财富,2025/8/22,2175.1589,2281.0655,2175.1589,2268.8455,907063960,24969646791,3.9179,6.7811,39.5751,0.84302,0.786655
300059.SZ,东方财富,2025/8/25,2303.8762,2356.0148,2262.3282,2299.8028,1019254519,28708028226,1.3645,7.6198,40.1151,0.30128,0.827785
300059.SZ,东方财富,2025/8/26,2278.6215,2314.4668,2267.2162,2275.3628,531556952,14927974158,-1.0627,3.9738,39.6888,0.77096,0.76221
300059.SZ,东方财富,2025/8/27,2276.1775,2317.7255,2215.0775,2216.7069,791027495,22077644019,-2.5779,5.9136,38.6657,0.12156,0.709825
